Roll_No,Group_No,Project_Category,Programming_Experience,Prior_PBL_Course,Pre_SE1,Post_SE1,Pre_SE2,Post_SE2,Pre_SE3,Post_SE3,Pre_SE4,Post_SE4,Pre_SE5,Post_SE5,Pre_SE6,Post_SE6,Pre_SE7,Post_SE7,Pre_SE8,Post_SE8,Pre_SE9,Post_SE9,Pre_SE10,Post_SE10,Pre_SE_Mean,Post_SE_Mean,SE_Gain,Pre_PK1_Correct,Post_PK1_Correct,Pre_PK2_Correct,Post_PK2_Correct,Pre_PK3_Correct,Post_PK3_Correct,Pre_PK4_Correct,Post_PK4_Correct,Pre_PK5_Correct,Post_PK5_Correct,Pre_PK_Total,Post_PK_Total,PK_Gain,Hake_g,PBL1,PBL2,PBL3,PBL4,PBL5,PBL6,PBL7,PBL8,PBL9,PBL10,PBL_Value_Mean,PBL_Scaffold_Mean,PBL_Overall_Mean,PBL_Total_Mean,AI_Tools_Used,AI_Phases,AI_Purposes,AI_Derivation_No_AI_Pct,AI_Helped_Learning,OE1_Theme,OE2_Theme,OE3_Theme
H006,5,A,Basic,No,3,4,3,4,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,4,3.0,3.6,0.6,1,1,0,1,1,1,1,1,1,1,4,5,1,1.0,4,4,3,4,4,3,3,4,4,4,3.667,3.5,4.0,3.7,,,,75-100%,Did not use AI,Debugging complex dynamic models,More time for project development,Seeing the physical model work in simulation
H024,5,A,Basic,No,3,5,3,4,3,4,2,4,2,4,2,5,3,4,3,4,3,4,3,5,2.7,4.3,1.6,1,1,0,1,1,1,1,1,0,1,3,5,2,1.0,3,4,3,3,3,4,4,3,3,4,3.333,3.5,3.333,3.4,Other,Phase 2 + Phase 3,"Creating simulation plots, Writing report",75-100%,Mostly helped,Mathematical validation of simulation results,Smaller group sizes (2-3 members),Understanding PID tuning from first principles
H029,5,A,Advanced,No,3,4,3,4,3,4,3,4,3,3,3,4,3,4,3,4,3,3,3,4,3.0,3.8,0.8,0,0,0,0,1,1,0,1,1,1,2,3,1,0.333,4,4,3,3,3,4,4,4,4,4,3.667,3.5,4.0,3.7,"ChatGPT, GitHub Copilot",Phase 3 + Phase 4,Writing Python code,25-50%,Mostly helped,Other reflections,Smaller group sizes (2-3 members),Linking math derivation to simulation output
H001,6,B,Basic,No,3,3,3,3,2,4,2,3,3,3,2,3,2,4,3,3,3,3,3,3,2.6,3.2,0.6,0,0,0,0,1,1,0,1,1,1,2,3,1,0.333,4,4,4,3,3,4,4,4,4,4,4.0,3.5,4.0,3.8,"ChatGPT, GitHub Copilot",All phases,"Understanding concepts, Debugging code",25-50%,Mostly helped,Mathematical validation of simulation results,More time for project development,Linking math derivation to simulation output
H002,6,B,Intermediate,Yes,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3.1,3.3,0.2,1,1,0,1,1,1,1,1,1,1,4,5,1,1.0,3,4,4,4,4,3,4,4,3,4,3.667,3.75,3.667,3.7,ChatGPT,Phase 3 (Simulation),"Creating simulation plots, Writing report",25-50%,Mostly helped,Team collaboration and problem distribution,Smaller group sizes (2-3 members),Linking math derivation to simulation output
H021,7,A,Advanced,No,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,3,3,4,2,3,2.9,3.4,0.5,0,0,0,1,1,1,0,1,1,0,2,3,1,0.333,4,4,4,3,3,4,3,4,3,4,4.0,3.25,3.667,3.6,ChatGPT,All phases,"Understanding concepts, Debugging code",25-50%,Mostly helped,Other reflections,More time for project development,Linking math derivation to simulation output
H022,7,A,Advanced,No,3,4,3,4,3,4,2,4,3,5,3,5,3,4,3,4,3,4,2,4,2.8,4.2,1.4,0,0,1,0,0,1,0,0,0,1,1,2,1,0.25,4,4,4,4,4,3,4,3,4,4,4.0,3.75,3.667,3.8,ChatGPT,Phase 3 + Phase 4,"Checking algebra, Writing Python code",25-50%,Mostly helped,Other reflections,More time for project development,Other reflections
H023,7,A,Basic,No,3,4,2,4,2,4,3,4,3,4,3,4,3,4,3,4,3,4,2,4,2.7,4.0,1.3,0,0,0,1,1,0,0,1,1,1,2,3,1,0.333,3,4,4,4,4,3,3,4,3,4,3.667,3.5,3.667,3.6,Claude,Phase 2 + Phase 3,Writing Python code,50-75%,Mixed,Mathematical validation of simulation results,Smaller group sizes (2-3 members),Understanding PID tuning from first principles
H059,8,C,,No,3,4,3,4,3,4,4,4,3,5,3,5,3,5,3,4,3,4,4,4,3.2,4.3,1.1,0,1,1,1,1,1,1,1,1,1,4,5,1,1.0,3,4,4,3,3,4,4,3,4,4,3.667,3.5,3.667,3.6,ChatGPT,All phases,"Deriving equations, Writing Python code",50-75%,Mixed,Other reflections,Other reflections,Understanding PID tuning from first principles
H060,8,C,Basic,No,3,4,3,4,3,4,3,3,3,3,3,4,3,3,2,4,3,4,3,4,2.9,3.7,0.8,1,1,0,1,1,1,0,1,1,1,3,5,2,1.0,4,3,3,4,4,4,4,4,4,4,3.333,4.0,4.0,3.8,"ChatGPT, GitHub Copilot",Phase 3 (Simulation),"Checking algebra, Writing Python code",25-50%,Mixed,Debugging complex dynamic models,Other reflections,Linking math derivation to simulation output
H062,8,C,,No,3,4,3,4,3,4,2,4,3,4,3,4,3,4,3,4,3,4,2,4,2.8,4.0,1.2,0,0,0,0,1,1,0,1,1,1,2,3,1,0.333,4,3,4,4,4,3,3,4,4,3,3.667,3.5,3.667,3.6,Claude,Phase 3 + Phase 4,Writing Python code,50-75%,Mostly helped,Team collaboration and problem distribution,More time for project development,Other reflections
H035,9,B,Basic,No,3,4,3,4,3,4,3,5,3,4,2,5,3,4,3,4,3,4,2,4,2.8,4.2,1.4,0,0,0,0,1,1,0,0,0,1,1,2,1,0.25,4,3,4,4,4,4,4,4,4,3,3.667,4.0,3.667,3.8,Other,Phase 3 + Phase 4,Writing Python code,25-50%,Mostly helped,Mathematical validation of simulation results,Smaller group sizes (2-3 members),Seeing the physical model work in simulation
H040,9,B,Intermediate,No,3,3,3,4,3,4,3,4,3,3,3,4,3,4,3,4,3,4,3,3,3.0,3.7,0.7,0,0,0,0,0,1,0,0,0,1,0,2,2,0.4,4,4,3,4,4,4,4,3,4,4,3.667,4.0,3.667,3.8,ChatGPT,Phase 2 only,Writing Python code,50-75%,Mostly helped,Debugging complex dynamic models,More time for project development,Other reflections
H046,9,B,Advanced,No,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,5,3,4,3.0,4.1,1.1,0,1,0,0,1,1,0,1,1,1,2,4,2,0.667,4,3,3,3,3,4,4,4,3,3,3.333,3.5,3.333,3.4,ChatGPT,Phase 3 + Phase 4,Writing Python code,50-75%,Mixed,Mathematical validation of simulation results,More time for project development,Seeing the physical model work in simulation
H047,9,B,Intermediate,No,3,3,3,3,3,4,3,4,3,4,3,4,3,3,3,4,3,3,3,3,3.0,3.5,0.5,0,0,0,0,1,1,0,1,1,1,2,3,1,0.333,3,3,4,3,4,4,4,3,4,4,3.333,3.75,3.667,3.6,ChatGPT,Phase 3 (Simulation),"Understanding concepts, Debugging code",50-75%,Mostly helped,Mathematical validation of simulation results,Smaller group sizes (2-3 members),Linking math derivation to simulation output
H036,10,E,Intermediate,No,3,4,3,4,3,4,3,3,3,3,3,3,3,4,3,4,3,4,3,4,3.0,3.7,0.7,0,1,0,0,1,1,0,1,1,1,2,4,2,0.667,4,4,4,5,4,4,4,4,4,5,4.0,4.25,4.333,4.2,,,,75-100%,Did not use AI,Mathematical validation of simulation results,Smaller group sizes (2-3 members),Linking math derivation to simulation output
H050,10,E,Basic,No,3,4,4,4,3,4,3,3,3,3,3,4,4,4,4,4,4,3,4,4,3.5,3.7,0.2,0,0,0,0,1,1,0,0,1,1,2,2,0,0.0,3,3,4,4,3,4,4,3,3,3,3.333,3.75,3.0,3.4,Other,Phase 3 + Phase 4,"Understanding concepts, Debugging code",50-75%,Mostly helped,Other reflections,"Less documentation, more coding time",Linking math derivation to simulation output
H051,10,E,Intermediate,No,3,3,3,3,3,3,3,4,3,3,2,3,3,3,2,3,3,3,3,4,2.8,3.2,0.4,1,1,0,1,1,1,0,1,1,1,3,5,2,1.0,3,4,3,3,3,3,3,3,3,3,3.333,3.0,3.0,3.1,"ChatGPT, GitHub Copilot",Phase 3 + Phase 4,"Understanding concepts, Debugging code",75-100%,Mixed,Mathematical validation of simulation results,Other reflections,Linking math derivation to simulation output
H052,10,E,Intermediate,No,3,4,3,5,2,4,3,4,2,4,3,4,3,4,3,4,3,4,3,4,2.8,4.1,1.3,0,1,0,0,1,1,0,1,1,1,2,4,2,0.667,3,3,3,3,3,4,4,3,3,3,3.0,3.5,3.0,3.2,Claude,All phases,Writing Python code,50-75%,Mostly helped,Mathematical validation of simulation results,"Less documentation, more coding time",Understanding PID tuning from first principles
H020,11,E,Intermediate,No,2,4,3,4,3,3,3,4,3,4,2,3,3,3,2,3,3,4,3,4,2.7,3.6,0.9,0,0,0,0,1,1,0,0,1,1,2,2,0,0.0,3,4,4,4,3,4,4,4,4,4,3.667,3.75,4.0,3.8,Claude,Phase 3 + Phase 4,"Deriving equations, Writing Python code",50-75%,Mixed,Mathematical validation of simulation results,Other reflections,Seeing the physical model work in simulation
H096,11,E,Advanced,No,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,4,3,4,3.1,3.9,0.8,0,0,0,0,1,1,0,1,1,1,2,3,1,0.333,4,4,3,4,4,4,3,4,4,4,3.667,3.75,4.0,3.8,"ChatGPT, Claude",Phase 2 only,"Deriving equations, Writing Python code",75-100%,Mostly helped,Mathematical validation of simulation results,Smaller group sizes (2-3 members),Linking math derivation to simulation output
H076,12,A,Basic,No,4,4,3,4,3,4,3,4,4,5,3,4,3,4,3,4,3,4,3,4,3.2,4.1,0.9,0,1,0,1,1,1,0,1,0,1,1,5,4,1.0,3,4,3,4,4,4,4,4,3,4,3.333,4.0,3.667,3.7,"ChatGPT, Claude",Phase 3 (Simulation),"Creating simulation plots, Writing report",50-75%,Mostly helped,Team collaboration and problem distribution,Smaller group sizes (2-3 members),Other reflections
H078,12,A,,Yes,3,4,3,5,3,4,3,4,3,4,3,4,2,4,3,4,3,4,3,4,2.9,4.1,1.2,0,0,0,0,1,1,0,0,0,0,1,1,0,0.0,4,4,5,4,4,4,4,4,4,4,4.333,4.0,4.0,4.1,,,,75-100%,Did not use AI,Other reflections,More time for project development,Seeing the physical model work in simulation
H088,12,A,Basic,No,3,4,2,5,2,4,3,4,3,4,3,4,3,5,2,4,3,4,3,4,2.7,4.2,1.5,0,1,0,0,1,1,0,1,1,1,2,4,2,0.667,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,ChatGPT,Phase 3 (Simulation),"Understanding concepts, Debugging code",0-25%,Mostly helped,Debugging complex dynamic models,More time for project development,Other reflections
H068,13,D,Basic,Yes,2,3,3,4,2,4,3,4,3,4,3,4,3,4,3,4,2,4,3,3,2.7,3.8,1.1,0,0,1,1,0,0,0,1,1,1,2,3,1,0.333,4,3,4,4,4,4,4,4,4,4,3.667,4.0,4.0,3.9,ChatGPT,Phase 2 only,"Creating simulation plots, Writing report",50-75%,Mixed,Team collaboration and problem distribution,"Less documentation, more coding time",Seeing the physical model work in simulation
H071,13,D,Advanced,Yes,3,4,3,4,3,3,4,4,3,4,3,4,3,4,3,4,3,3,3,3,3.1,3.7,0.6,0,0,0,0,1,1,0,0,0,1,1,2,1,0.25,4,5,4,5,4,4,4,4,4,4,4.333,4.25,4.0,4.2,"ChatGPT, Claude",Phase 2 + Phase 3,"Checking algebra, Writing Python code",25-50%,Mixed,Other reflections,More time for project development,Understanding PID tuning from first principles
H086,13,D,Basic,No,3,4,3,4,3,4,3,4,3,3,4,4,3,3,3,4,3,4,3,4,3.1,3.8,0.7,0,0,0,0,1,1,0,0,1,1,2,2,0,0.0,3,3,4,4,3,4,4,3,3,3,3.333,3.75,3.0,3.4,ChatGPT,Phase 2 only,"Understanding concepts, Debugging code",50-75%,Mostly helped,Mathematical validation of simulation results,Smaller group sizes (2-3 members),Seeing the physical model work in simulation
H097,13,D,Intermediate,No,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.1,0.1,0,1,1,1,1,1,0,1,1,1,3,5,2,1.0,3,3,4,4,4,4,4,3,4,3,3.333,4.0,3.333,3.6,"ChatGPT, GitHub Copilot",Phase 3 + Phase 4,Writing Python code,50-75%,Mostly helped,Team collaboration and problem distribution,"Less documentation, more coding time",Linking math derivation to simulation output
H093,14,C,Intermediate,No,2,3,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.7,3.1,0.4,0,0,0,0,1,1,0,0,0,0,1,1,0,0.0,4,4,3,3,3,4,3,4,4,3,3.667,3.25,3.667,3.5,"ChatGPT, GitHub Copilot",Phase 2 only,Writing Python code,75-100%,Mostly helped,Mathematical validation of simulation results,Other reflections,Other reflections
H095,14,C,Basic,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3.0,3.2,0.2,1,0,0,0,1,1,0,0,0,1,2,2,0,0.0,4,3,3,4,4,4,3,3,3,4,3.333,3.75,3.333,3.5,,,,75-100%,Did not use AI,Other reflections,More time for project development,Other reflections
H066,15,E,Basic,Yes,2,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,4,2.9,3.4,0.5,1,0,0,0,0,1,0,0,0,0,1,1,0,0.0,3,4,4,4,3,4,4,3,4,4,3.667,3.75,3.667,3.7,"ChatGPT, GitHub Copilot",Phase 3 + Phase 4,"Understanding concepts, Debugging code",25-50%,Mostly helped,Mathematical validation of simulation results,Other reflections,Understanding PID tuning from first principles
H067,15,E,Intermediate,No,3,4,3,4,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,3.0,4.1,1.1,0,1,0,0,1,1,0,1,0,1,1,4,3,0.75,4,4,4,4,4,5,4,5,4,4,4.0,4.25,4.333,4.2,Claude,Phase 2 only,"Deriving equations, Writing Python code",0-25%,Mixed,Team collaboration and problem distribution,Other reflections,Other reflections
H090,15,E,Intermediate,Yes,3,4,3,3,3,3,3,4,3,3,3,4,4,3,3,4,3,3,3,3,3.1,3.4,0.3,0,1,0,0,1,1,0,1,1,1,2,4,2,0.667,5,4,5,4,4,4,4,4,4,5,4.667,4.0,4.333,4.3,ChatGPT,All phases,"Understanding concepts, Debugging code",50-75%,Mostly helped,Other reflections,Smaller group sizes (2-3 members),Other reflections
H094,15,E,Basic,Yes,3,3,3,4,3,3,3,4,3,4,3,3,3,4,3,4,3,4,3,4,3.0,3.7,0.7,0,0,0,0,1,1,0,1,1,1,2,3,1,0.333,4,4,3,4,3,4,4,4,3,4,3.667,3.75,3.667,3.7,ChatGPT,Phase 2 only,"Checking algebra, Writing Python code",25-50%,Mostly helped,Other reflections,Other reflections,Understanding PID tuning from first principles
H034,16,A,Basic,Yes,3,5,3,4,3,5,3,5,3,4,3,5,3,4,3,4,3,5,4,5,3.1,4.6,1.5,0,0,0,1,1,1,0,1,1,1,2,4,2,0.667,4,5,5,4,4,4,4,4,4,5,4.667,4.0,4.333,4.3,"ChatGPT, GitHub Copilot",Phase 2 + Phase 3,"Checking algebra, Writing Python code",50-75%,Mostly helped,Other reflections,"Less documentation, more coding time",Linking math derivation to simulation output
H041,16,A,Intermediate,No,3,4,3,4,3,3,3,4,3,3,3,4,3,4,3,4,3,4,2,3,2.9,3.7,0.8,1,1,0,1,1,1,0,1,1,1,3,5,2,1.0,3,4,4,4,4,4,4,3,4,4,3.667,4.0,3.667,3.8,ChatGPT,Phase 3 (Simulation),"Understanding concepts, Debugging code",50-75%,Mostly helped,Other reflections,"Less documentation, more coding time",Linking math derivation to simulation output
H056,16,A,Basic,No,3,5,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,3,5,3.0,4.3,1.3,1,0,0,0,0,1,0,1,1,1,2,3,1,0.333,4,4,4,4,5,4,4,4,5,4,4.0,4.25,4.333,4.2,ChatGPT,Phase 3 + Phase 4,"Deriving equations, Writing Python code",50-75%,Mostly helped,Other reflections,Other reflections,Linking math derivation to simulation output
H074,17,E,Advanced,No,3,3,3,4,3,4,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3.1,3.4,0.3,1,1,0,1,1,1,1,1,1,1,4,5,1,1.0,4,4,4,3,4,4,4,4,3,3,4.0,3.75,3.333,3.7,"ChatGPT, GitHub Copilot",All phases,"Checking algebra, Writing Python code",75-100%,Mostly helped,Debugging complex dynamic models,Other reflections,Understanding PID tuning from first principles
H075,17,E,Basic,No,2,4,2,3,3,3,2,4,3,4,2,4,3,4,3,4,2,4,3,4,2.5,3.8,1.3,1,1,0,1,1,1,0,1,1,1,3,5,2,1.0,4,3,4,4,3,4,4,4,4,4,3.667,3.75,4.0,3.8,Other,Phase 3 + Phase 4,"Creating simulation plots, Writing report",0-25%,Mostly helped,Team collaboration and problem distribution,"Less documentation, more coding time",Linking math derivation to simulation output
